"player","points","cells","env_number","gempresent","round","tot_points","gem","cell","x","y"
2,-50,40,1,0,10,168,0,39,7,4
2,15,55,1,0,10,168,0,54,6,6
2,4,55,1,0,10,168,0,54,6,6
2,42,55,1,0,10,168,0,54,6,6
2,5,55,1,0,10,168,0,54,6,6
2,11,55,1,0,10,168,0,54,6,6
2,16,55,1,0,10,168,0,54,6,6
2,11,55,1,0,10,168,0,54,6,6
2,31,55,1,0,10,168,0,54,6,6
2,43,55,1,0,10,168,0,54,6,6
2,33,55,1,0,10,168,0,54,6,6
2,21,55,1,0,10,168,0,54,6,6
2,41,55,1,0,10,168,0,54,6,6
2,-2,55,1,0,10,168,0,54,6,6
2,26,55,1,0,10,168,0,54,6,6
2,-43,59,1,0,10,168,0,58,2,7
2,5,42,1,0,10,168,0,41,1,5
2,2,42,1,0,10,168,0,41,1,5
2,23,44,1,0,10,168,0,43,3,5
2,7,44,1,0,10,168,0,43,3,5
2,-41,36,1,0,10,168,0,35,3,4
2,50,4,3,1,11,641,0,3,3,0
2,-49,8,3,1,11,641,0,7,7,0
2,51,4,3,1,11,641,0,3,3,0
2,50,4,3,1,11,641,0,3,3,0
2,51,4,3,1,11,641,0,3,3,0
2,50,4,3,1,11,641,0,3,3,0
2,23,63,3,1,11,641,0,62,6,7
2,20,63,3,1,11,641,0,62,6,7
2,8,43,3,1,11,641,0,42,2,5
2,-49,18,3,1,11,641,0,17,1,2
2,9,43,3,1,11,641,0,42,2,5
2,49,40,3,1,11,641,0,39,7,4
2,56,40,3,1,11,641,0,39,7,4
2,58,40,3,1,11,641,0,39,7,4
2,52,40,3,1,11,641,0,39,7,4
2,8,60,3,1,11,641,0,59,3,7
2,8,60,3,1,11,641,0,59,3,7
2,6,60,3,1,11,641,0,59,3,7
2,42,1,3,1,11,641,0,0,0,0
2,37,1,3,1,11,641,0,0,0,0
2,42,49,3,1,11,641,0,48,0,6
2,36,49,3,1,11,641,0,48,0,6
2,-38,32,3,1,11,641,0,31,7,3
2,36,19,3,1,11,641,0,18,2,2
2,35,19,3,1,11,641,0,18,2,2
2,28,29,5,1,12,702,0,28,4,3
2,37,28,5,1,12,702,0,27,3,3
2,45,28,5,1,12,702,0,27,3,3
2,-3,19,5,1,12,702,0,18,2,2
2,20,27,5,1,12,702,0,26,2,3
2,23,27,5,1,12,702,0,26,2,3
2,29,45,5,1,12,702,0,44,4,5
2,14,45,5,1,12,702,0,44,4,5
2,27,44,5,1,12,702,0,43,3,5
2,49,52,5,1,12,702,0,51,3,6
2,48,52,5,1,12,702,0,51,3,6
2,-50,59,5,1,12,702,0,58,2,7
2,49,38,5,1,12,702,0,37,5,4
2,72,38,5,1,12,702,0,37,5,4
2,39,38,5,1,12,702,0,37,5,4
2,45,38,5,1,12,702,0,37,5,4
2,62,38,5,1,12,702,0,37,5,4
2,-22,14,5,1,12,702,0,13,5,1
2,56,10,5,1,12,702,0,9,1,1
2,45,10,5,1,12,702,0,9,1,1
2,56,10,5,1,12,702,0,9,1,1
2,13,50,5,1,12,702,0,49,1,6
2,-15,34,5,1,12,702,0,33,1,4
2,-2,56,5,1,12,702,0,55,7,6
2,37,22,5,1,12,702,0,21,5,2
3,-6,21,3,0,1,-406,0,20,4,2
3,-9,21,3,0,1,-406,0,20,4,2
